xintercept	key	showSelected1	showSelected2	PANEL
24.5	24	43	24	1
25.5	25	43	25	1
26.5	26	43	26	1
27.5	27	43	27	1
28.5	28	43	28	1
29.5	29	43	29	1
30.5	30	43	30	1
31.5	31	43	31	1
32.5	32	43	32	1
33.5	33	43	33	1
34.5	34	43	34	1
35.5	35	43	35	1
36.5	36	43	36	1
37.5	37	43	37	1
38.5	38	43	38	1
39.5	39	43	39	1
40.5	40	43	40	1
41.5	41	43	41	1
42.5	42	43	42	1
0.5	0	44	0	1
1.5	1	44	1	1
2.5	2	44	2	1
3.5	3	44	3	1
4.5	4	44	4	1
5.5	5	44	5	1
6.5	6	44	6	1
7.5	7	44	7	1
8.5	8	44	8	1
9.5	9	44	9	1
10.5	10	44	10	1
11.5	11	44	11	1
12.5	12	44	12	1
13.5	13	44	13	1
14.5	14	44	14	1
15.5	15	44	15	1
16.5	16	44	16	1
17.5	17	44	17	1
18.5	18	44	18	1
19.5	19	44	19	1
20.5	20	44	20	1
21.5	21	44	21	1
22.5	22	44	22	1
23.5	23	44	23	1
24.5	24	44	24	1
25.5	25	44	25	1
26.5	26	44	26	1
27.5	27	44	27	1
28.5	28	44	28	1
29.5	29	44	29	1
30.5	30	44	30	1
31.5	31	44	31	1
32.5	32	44	32	1
33.5	33	44	33	1
34.5	34	44	34	1
35.5	35	44	35	1
36.5	36	44	36	1
37.5	37	44	37	1
38.5	38	44	38	1
39.5	39	44	39	1
40.5	40	44	40	1
41.5	41	44	41	1
42.5	42	44	42	1
43.5	43	44	43	1
0.5	0	45	0	1
1.5	1	45	1	1
2.5	2	45	2	1
3.5	3	45	3	1
4.5	4	45	4	1
5.5	5	45	5	1
6.5	6	45	6	1
7.5	7	45	7	1
8.5	8	45	8	1
9.5	9	45	9	1
10.5	10	45	10	1
11.5	11	45	11	1
12.5	12	45	12	1
13.5	13	45	13	1
14.5	14	45	14	1
15.5	15	45	15	1
16.5	16	45	16	1
17.5	17	45	17	1
18.5	18	45	18	1
19.5	19	45	19	1
20.5	20	45	20	1
21.5	21	45	21	1
22.5	22	45	22	1
23.5	23	45	23	1
24.5	24	45	24	1
25.5	25	45	25	1
26.5	26	45	26	1
27.5	27	45	27	1
28.5	28	45	28	1
29.5	29	45	29	1
30.5	30	45	30	1
31.5	31	45	31	1
32.5	32	45	32	1
33.5	33	45	33	1
34.5	34	45	34	1
35.5	35	45	35	1
36.5	36	45	36	1
37.5	37	45	37	1
38.5	38	45	38	1
39.5	39	45	39	1
40.5	40	45	40	1
41.5	41	45	41	1
42.5	42	45	42	1
43.5	43	45	43	1
44.5	44	45	44	1
0.5	0	46	0	1
1.5	1	46	1	1
2.5	2	46	2	1
3.5	3	46	3	1
4.5	4	46	4	1
5.5	5	46	5	1
6.5	6	46	6	1
7.5	7	46	7	1
8.5	8	46	8	1
9.5	9	46	9	1
10.5	10	46	10	1
11.5	11	46	11	1
12.5	12	46	12	1
13.5	13	46	13	1
14.5	14	46	14	1
15.5	15	46	15	1
16.5	16	46	16	1
17.5	17	46	17	1
18.5	18	46	18	1
19.5	19	46	19	1
20.5	20	46	20	1
21.5	21	46	21	1
22.5	22	46	22	1
23.5	23	46	23	1
24.5	24	46	24	1
25.5	25	46	25	1
26.5	26	46	26	1
27.5	27	46	27	1
28.5	28	46	28	1
29.5	29	46	29	1
30.5	30	46	30	1
31.5	31	46	31	1
32.5	32	46	32	1
33.5	33	46	33	1
34.5	34	46	34	1
35.5	35	46	35	1
36.5	36	46	36	1
37.5	37	46	37	1
38.5	38	46	38	1
39.5	39	46	39	1
40.5	40	46	40	1
41.5	41	46	41	1
42.5	42	46	42	1
43.5	43	46	43	1
44.5	44	46	44	1
45.5	45	46	45	1
0.5	0	47	0	1
1.5	1	47	1	1
2.5	2	47	2	1
3.5	3	47	3	1
4.5	4	47	4	1
5.5	5	47	5	1
6.5	6	47	6	1
7.5	7	47	7	1
8.5	8	47	8	1
9.5	9	47	9	1
10.5	10	47	10	1
11.5	11	47	11	1
12.5	12	47	12	1
13.5	13	47	13	1
14.5	14	47	14	1
15.5	15	47	15	1
16.5	16	47	16	1
17.5	17	47	17	1
18.5	18	47	18	1
19.5	19	47	19	1
20.5	20	47	20	1
21.5	21	47	21	1
22.5	22	47	22	1
23.5	23	47	23	1
24.5	24	47	24	1
25.5	25	47	25	1
26.5	26	47	26	1
27.5	27	47	27	1
28.5	28	47	28	1
29.5	29	47	29	1
30.5	30	47	30	1
31.5	31	47	31	1
32.5	32	47	32	1
33.5	33	47	33	1
34.5	34	47	34	1
35.5	35	47	35	1
36.5	36	47	36	1
37.5	37	47	37	1
38.5	38	47	38	1
39.5	39	47	39	1
40.5	40	47	40	1
41.5	41	47	41	1
42.5	42	47	42	1
43.5	43	47	43	1
44.5	44	47	44	1
45.5	45	47	45	1
46.5	46	47	46	1
0.5	0	48	0	1
1.5	1	48	1	1
2.5	2	48	2	1
3.5	3	48	3	1
4.5	4	48	4	1
5.5	5	48	5	1
6.5	6	48	6	1
7.5	7	48	7	1
8.5	8	48	8	1
9.5	9	48	9	1
10.5	10	48	10	1
11.5	11	48	11	1
12.5	12	48	12	1
13.5	13	48	13	1
14.5	14	48	14	1
15.5	15	48	15	1
16.5	16	48	16	1
17.5	17	48	17	1
18.5	18	48	18	1
19.5	19	48	19	1
20.5	20	48	20	1
21.5	21	48	21	1
22.5	22	48	22	1
23.5	23	48	23	1
24.5	24	48	24	1
25.5	25	48	25	1
26.5	26	48	26	1
27.5	27	48	27	1
28.5	28	48	28	1
29.5	29	48	29	1
30.5	30	48	30	1
31.5	31	48	31	1
32.5	32	48	32	1
33.5	33	48	33	1
34.5	34	48	34	1
35.5	35	48	35	1
36.5	36	48	36	1
37.5	37	48	37	1
38.5	38	48	38	1
39.5	39	48	39	1
40.5	40	48	40	1
41.5	41	48	41	1
42.5	42	48	42	1
43.5	43	48	43	1
44.5	44	48	44	1
45.5	45	48	45	1
46.5	46	48	46	1
47.5	47	48	47	1
0.5	0	49	0	1
1.5	1	49	1	1
2.5	2	49	2	1
3.5	3	49	3	1
4.5	4	49	4	1
5.5	5	49	5	1
6.5	6	49	6	1
7.5	7	49	7	1
8.5	8	49	8	1
9.5	9	49	9	1
10.5	10	49	10	1
11.5	11	49	11	1
12.5	12	49	12	1
13.5	13	49	13	1
14.5	14	49	14	1
15.5	15	49	15	1
16.5	16	49	16	1
17.5	17	49	17	1
18.5	18	49	18	1
19.5	19	49	19	1
20.5	20	49	20	1
21.5	21	49	21	1
22.5	22	49	22	1
23.5	23	49	23	1
24.5	24	49	24	1
25.5	25	49	25	1
26.5	26	49	26	1
27.5	27	49	27	1
28.5	28	49	28	1
29.5	29	49	29	1
30.5	30	49	30	1
31.5	31	49	31	1
32.5	32	49	32	1
33.5	33	49	33	1
34.5	34	49	34	1
35.5	35	49	35	1
36.5	36	49	36	1
37.5	37	49	37	1
38.5	38	49	38	1
39.5	39	49	39	1
40.5	40	49	40	1
41.5	41	49	41	1
42.5	42	49	42	1
43.5	43	49	43	1
44.5	44	49	44	1
45.5	45	49	45	1
46.5	46	49	46	1
47.5	47	49	47	1
48.5	48	49	48	1
0.5	0	50	0	1
1.5	1	50	1	1
2.5	2	50	2	1
3.5	3	50	3	1
4.5	4	50	4	1
5.5	5	50	5	1
6.5	6	50	6	1
7.5	7	50	7	1
8.5	8	50	8	1
9.5	9	50	9	1
10.5	10	50	10	1
11.5	11	50	11	1
12.5	12	50	12	1
13.5	13	50	13	1
14.5	14	50	14	1
15.5	15	50	15	1
16.5	16	50	16	1
17.5	17	50	17	1
18.5	18	50	18	1
19.5	19	50	19	1
20.5	20	50	20	1
21.5	21	50	21	1
22.5	22	50	22	1
23.5	23	50	23	1
24.5	24	50	24	1
25.5	25	50	25	1
26.5	26	50	26	1
27.5	27	50	27	1
