xmin	xmax	key	clickSelects	showSelected1	PANEL	group
4	5	4	4	38	2	-1
5	6	5	5	38	2	-1
6	7	6	6	38	2	-1
7	8	7	7	38	2	-1
8	9	8	8	38	2	-1
9	10	9	9	38	2	-1
10	11	10	10	38	2	-1
11	12	11	11	38	2	-1
12	13	12	12	38	2	-1
13	14	13	13	38	2	-1
14	15	14	14	38	2	-1
15	16	15	15	38	2	-1
16	17	16	16	38	2	-1
17	18	17	17	38	2	-1
18	19	18	18	38	2	-1
19	20	19	19	38	2	-1
20	21	20	20	38	2	-1
21	22	21	21	38	2	-1
22	23	22	22	38	2	-1
23	24	23	23	38	2	-1
24	25	24	24	38	2	-1
25	26	25	25	38	2	-1
26	27	26	26	38	2	-1
27	28	27	27	38	2	-1
28	29	28	28	38	2	-1
29	30	29	29	38	2	-1
30	31	30	30	38	2	-1
31	32	31	31	38	2	-1
32	33	32	32	38	2	-1
33	34	33	33	38	2	-1
34	35	34	34	38	2	-1
35	36	35	35	38	2	-1
36	37	36	36	38	2	-1
37	38	37	37	38	2	-1
0	1	0	0	39	2	-1
1	2	1	1	39	2	-1
2	3	2	2	39	2	-1
3	4	3	3	39	2	-1
4	5	4	4	39	2	-1
5	6	5	5	39	2	-1
6	7	6	6	39	2	-1
7	8	7	7	39	2	-1
8	9	8	8	39	2	-1
9	10	9	9	39	2	-1
10	11	10	10	39	2	-1
11	12	11	11	39	2	-1
12	13	12	12	39	2	-1
13	14	13	13	39	2	-1
14	15	14	14	39	2	-1
15	16	15	15	39	2	-1
16	17	16	16	39	2	-1
17	18	17	17	39	2	-1
18	19	18	18	39	2	-1
19	20	19	19	39	2	-1
20	21	20	20	39	2	-1
21	22	21	21	39	2	-1
22	23	22	22	39	2	-1
23	24	23	23	39	2	-1
24	25	24	24	39	2	-1
25	26	25	25	39	2	-1
26	27	26	26	39	2	-1
27	28	27	27	39	2	-1
28	29	28	28	39	2	-1
29	30	29	29	39	2	-1
30	31	30	30	39	2	-1
31	32	31	31	39	2	-1
32	33	32	32	39	2	-1
33	34	33	33	39	2	-1
34	35	34	34	39	2	-1
35	36	35	35	39	2	-1
36	37	36	36	39	2	-1
37	38	37	37	39	2	-1
38	39	38	38	39	2	-1
0	1	0	0	40	2	-1
1	2	1	1	40	2	-1
2	3	2	2	40	2	-1
3	4	3	3	40	2	-1
4	5	4	4	40	2	-1
5	6	5	5	40	2	-1
6	7	6	6	40	2	-1
7	8	7	7	40	2	-1
8	9	8	8	40	2	-1
9	10	9	9	40	2	-1
10	11	10	10	40	2	-1
11	12	11	11	40	2	-1
12	13	12	12	40	2	-1
13	14	13	13	40	2	-1
14	15	14	14	40	2	-1
15	16	15	15	40	2	-1
16	17	16	16	40	2	-1
17	18	17	17	40	2	-1
18	19	18	18	40	2	-1
19	20	19	19	40	2	-1
20	21	20	20	40	2	-1
21	22	21	21	40	2	-1
22	23	22	22	40	2	-1
23	24	23	23	40	2	-1
24	25	24	24	40	2	-1
25	26	25	25	40	2	-1
26	27	26	26	40	2	-1
27	28	27	27	40	2	-1
28	29	28	28	40	2	-1
29	30	29	29	40	2	-1
30	31	30	30	40	2	-1
31	32	31	31	40	2	-1
32	33	32	32	40	2	-1
33	34	33	33	40	2	-1
34	35	34	34	40	2	-1
35	36	35	35	40	2	-1
36	37	36	36	40	2	-1
37	38	37	37	40	2	-1
38	39	38	38	40	2	-1
39	40	39	39	40	2	-1
0	1	0	0	41	2	-1
1	2	1	1	41	2	-1
2	3	2	2	41	2	-1
3	4	3	3	41	2	-1
4	5	4	4	41	2	-1
5	6	5	5	41	2	-1
6	7	6	6	41	2	-1
7	8	7	7	41	2	-1
8	9	8	8	41	2	-1
9	10	9	9	41	2	-1
10	11	10	10	41	2	-1
11	12	11	11	41	2	-1
12	13	12	12	41	2	-1
13	14	13	13	41	2	-1
14	15	14	14	41	2	-1
15	16	15	15	41	2	-1
16	17	16	16	41	2	-1
17	18	17	17	41	2	-1
18	19	18	18	41	2	-1
19	20	19	19	41	2	-1
20	21	20	20	41	2	-1
21	22	21	21	41	2	-1
22	23	22	22	41	2	-1
23	24	23	23	41	2	-1
24	25	24	24	41	2	-1
25	26	25	25	41	2	-1
26	27	26	26	41	2	-1
27	28	27	27	41	2	-1
28	29	28	28	41	2	-1
29	30	29	29	41	2	-1
30	31	30	30	41	2	-1
31	32	31	31	41	2	-1
32	33	32	32	41	2	-1
33	34	33	33	41	2	-1
34	35	34	34	41	2	-1
35	36	35	35	41	2	-1
36	37	36	36	41	2	-1
37	38	37	37	41	2	-1
38	39	38	38	41	2	-1
39	40	39	39	41	2	-1
40	41	40	40	41	2	-1
0	1	0	0	42	2	-1
1	2	1	1	42	2	-1
2	3	2	2	42	2	-1
3	4	3	3	42	2	-1
4	5	4	4	42	2	-1
5	6	5	5	42	2	-1
6	7	6	6	42	2	-1
7	8	7	7	42	2	-1
8	9	8	8	42	2	-1
9	10	9	9	42	2	-1
10	11	10	10	42	2	-1
11	12	11	11	42	2	-1
12	13	12	12	42	2	-1
13	14	13	13	42	2	-1
14	15	14	14	42	2	-1
15	16	15	15	42	2	-1
16	17	16	16	42	2	-1
17	18	17	17	42	2	-1
18	19	18	18	42	2	-1
19	20	19	19	42	2	-1
20	21	20	20	42	2	-1
21	22	21	21	42	2	-1
22	23	22	22	42	2	-1
23	24	23	23	42	2	-1
24	25	24	24	42	2	-1
